audit_id,tower_id,city,state,tower_type,tower_height_ft,audit_date,audit_type,inspector,contracted_carriers,physical_carriers_found,contracted_antennas,physical_antennas_found,contracted_cabinets,physical_cabinets_found,discrepancy_type,severity,unauthorized_carrier,finding_notes,est_monthly_revenue_impact_usd,est_annual_revenue_impact_usd
AUD-691380-202503,CC-TWR-691380,Silver Spring,MD,Self-Supporting Lattice,210,2025-03-14,Annual Compliance Check,M. Thompson — Summit QA,3,3,32,32,3,3,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-620465-202501,CC-TWR-620465,Rock Hill,SC,Self-Supporting Lattice,140,2025-01-22,Structural Engineering Visit,S. Johnson — Summit Field Ops,1,1,10,10,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-786406-202501,CC-TWR-786406,Clarksville,TN,Rooftop,290,2025-01-22,Field Audit,S. Johnson — Summit Field Ops,2,2,28,28,5,5,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-749253-202502,CC-TWR-749253,Durham,NC,Monopole,270,2025-02-10,Insurance Inspection,J. Martinez — SBA Engineering,1,1,11,11,1,2,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to AT&T. Not in current lease scope. Ground space consumption ~83 sq ft unbilled.,305.64,3667.63
AUD-825423-202503,CC-TWR-825423,Bellevue,WA,Self-Supporting Lattice,260,2025-03-09,Drone Inspection,S. Johnson — Summit Field Ops,1,1,17,17,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-201255-202502,CC-TWR-201255,Los Angeles,CA,Monopole,310,2025-02-01,Field Audit,L. Garcia — Terracon Consultants,2,2,18,18,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-901909-202503,CC-TWR-901909,Bloomington,MN,Self-Supporting Lattice,290,2025-03-05,Structural Engineering Visit,L. Garcia — Terracon Consultants,2,2,22,22,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-810859-202503,CC-TWR-810859,San Diego,CA,Self-Supporting Lattice,240,2025-03-10,Annual Compliance Check,L. Garcia — Terracon Consultants,1,1,13,13,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-971482-202503,CC-TWR-971482,Orlando,FL,Monopole,120,2025-03-22,Structural Engineering Visit,R. Chen — SAI Group,3,3,31,32,1,1,extra_antennas,WARNING,,1 additional antenna(s) found at RAD center attributed to Verizon — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,580.22,6962.66
AUD-755910-202501,CC-TWR-755910,Mobile,AL,Stealth/Concealed,290,2025-01-06,Field Audit,J. Martinez — SBA Engineering,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
